MaGD,MaKH,NgayGD,GioGD,LoaiGD,SoTien,ChiNhanh,KenhGD,TrangThai,GhiChu
GD000508,KH0124,2024-02-17,16:16,Mua ngoại tệ,165717229,Hà Nội,Mobile App,Thành công,
GD000082,KH0198,2024-01-08,16:04,Nạp tiền,20738329,Khánh Hòa,ATM,Thành công,
GD000091,KH0033,2024-01-24,13:07,Chuyển khoản,154100866,Đồng Nai,Internet Banking,Thành công,
GD000193,KH0095,2024-06-30,16:02,Chuyển khoản,58005231,Nghệ An,POS,Thành công,
GD000474,KH0133,2024-06-02,17:27,Rút tiền,165478158,Đồng Nai,POS,Thành công,
GD000568,KH0177,2024-05-09,08:19,Nạp tiền,125208643,Thanh Hóa,ATM,Thành công,
GD000034,KH0178,2024-03-01,12:10,Thanh toán hóa đơn,188909652,Cần Thơ,Quầy giao dịch,Thành công,
GD000388,KH0183,2024-05-17,17:10,Nạp tiền,169398928,Đồng Nai,Mobile App,Thành công,
GD000128,KH0124,2024-05-04,08:04,Nạp tiền,-4502491,Thanh Hóa,Quầy giao dịch,Thành công,
GD000875,KH0045,2024-01-11,08:51,Mua ngoại tệ,133437140,Đồng Nai,ATM,Thành công,
GD000189,KH0035,2024-03-05,15:35,Nạp tiền,152172839,Đà Nẵng,ATM,Thành công,Thanh toán tiền điện
GD000240,KH0149,2024-03-20,16:49,Chuyển khoản,126008611,,Quầy giao dịch,Thành công,
GD000906,KH0054,2024-05-16,15:38,Mua ngoại tệ,148352822,HÀ NỘI,Quầy giao dịch,Thành công,
GD000252,KH0075,2024-06-14,14:42,Rút tiền,28710321,Bình Dương,ATM,Thành công,
GD000529,KH0071,2024-06-05,15:11,Nạp tiền,132906472,Đà Nẵng,POS,Thành công,
GD000922,KH0144,2024-06-05,12:00,Chuyển khoản,138753327,Đà Nẵng,ATM,Thành công,
GD000144,KH0043,2024-05-17,11:42,Rút tiền,27947641,Hải Phòng,ATM,Thành công,
GD000270,KH0029,2024-06-27,11:33,Chuyển khoản,145390338,Đà Nẵng,Internet Banking,Thành công,
GD000315,KH0033,2024-05-07,13:59,Thanh toán hóa đơn,164582564,Cần Thơ,Mobile App,Thành công,
GD000987,KH0148,2024-06-20,16:37,Nạp tiền,2191066,Thanh Hóa,Mobile App,Đang xử lý,
GD000402,KH0110,2024-03-27,13:52,Rút tiền,101635559,,Quầy giao dịch,Thành công,
GD000821,KH0046,2024-06-10,15:41,Thanh toán hóa đơn,98931168,Hải Phòng,ATM,Thành công,
GD000338,KH0073,2024-02-24,16:21,Rút tiền,144987064,Thanh Hóa,Quầy giao dịch,Thành công,
GD000859,KH0029,2024-04-27,10:13,Mua ngoại tệ,6181220,Đà Nẵng,POS,Thành công,
GD000888,KH0143,2024-05-10,08:58,Rút tiền,81141175,Khánh Hòa,Internet Banking,Thành công,
GD000301,KH0017,2024-06-11,12:41,Rút tiền,108998809,Hải Phòng,Mobile App,Thành công,
GD000132,KH0184,2024-06-17,09:48,Rút tiền,1262655145,Cần Thơ,Internet Banking,Thành công,
GD000692,KH0037,16/03/2024,14:05,Nạp tiền,39675031,Khánh Hòa,POS,Thành công,Lương tháng 3
